product-base href,img-responsive src,product-brand,product-product
https://www.myntra.com/dresses/aask/aask-striped-midi-fit-and-flare-dresses/22283762/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22283762/2023/3/10/f4911411-78a7-4191-bebf-0843899d17a41678457596916AASKPinkColourblockedCrepeFitFlareMidiDress1.jpg",AASK,Striped Fit and Flare Dresses
https://www.myntra.com/dresses/flowervelly/flowervelly-v-neck-striped-fit-and-flare-dresses/28521952/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28521952/2024/3/26/dab8a9f7-a941-4642-a39e-898342c6431f1711476451660FLOWERVELLYGeorgetteFormalMidiDress1.jpg",FLOWERVELLY,V-Neck Fit and Flare Dresses
https://www.myntra.com/ethnic-dresses/taavi/-taavi-dabu-printed-fit-and-flared-pure-cotton-midi-ethnic-dresses-with-cut-out-detail--/27068864/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27068864/2024/5/25/7d3bbd46-9c67-43a3-b420-9e0c10c3bd361716630413432-Taavi-Women-Ethnic-Dresses-821716630413045-1.jpg",Taavi,Dabu Pure Cotton Ethnic Dress
https://www.myntra.com/dresses/sangria/sangria-floral-kantha-jaal-printed-flounce-cotton-a-line-dresses/27620368/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27620368/2024/2/15/fffa1488-ca38-4395-a155-fe14001fdeab1708005325354SangriaFloral-PrintedCottonA-LineDress6.jpg",Sangria,Cotton A-Line Printed Dresses
https://www.myntra.com/dresses/sassafras/sassafras-v-neck-mini-blazer-dresses/24956804/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24956804/2023/9/14/8e74ca5a-8846-44af-893b-f3a846fe93d11694678152954SASSAFRASYellowMiniDress1.jpg",SASSAFRAS,V-Neck Mini Blazer Dresses
https://www.myntra.com/ethnic-dresses/taavi/taavi-dabu-printed-pure-cotton-kaftan-ethnic-dresses/27068848/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27068848/2024/5/25/17825673-2d18-4ac2-ad6f-39813c3952551716630358926-Taavi-Women-Ethnic-Dresses-8631716630358532-1.jpg",Taavi,Dabu Pure Cotton Kaftan Dress
https://www.myntra.com/dresses/sangria/sangria-striped-shirt-collar-a-line-dresses/24000858/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24000858/2023/7/13/76e7b2a5-71cd-469d-84ee-24b9c11b4f551689239694366FUCHSIAKANTHAFLAREDDRESS1.jpg",Sangria,Striped A-Line Dresses
https://www.myntra.com/dresses/fashion2wear/fashion2wear-floral-print-square-neck-fit-and-flare-dresses/24575364/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24575364/2023/8/21/d1aacbd1-7c6c-4c0d-9171-4a9f93bb6e6f1692619672229Fashion2wearGreenFlutterSleeveGeorgetteA-LineMidiDress1.jpg",Fashion2wear,Floral Print Dresses
https://www.myntra.com/ethnic-dresses/rain+%26+rainbow/rain--rainbow-floral-printed-pure-cotton-fit-and-flare-midi-ethnic-dresses/29361958/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29361958/2024/5/6/8c84753b-e227-49df-8236-3e5b49ddf8031714997782527EthnicDresses1.jpg",Rain & Rainbow,Fit and Flare Ethnic Dresses
https://www.myntra.com/dresses/aask/aask-striped-midi-fit-and-flare-dresses/22283766/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22283766/2023/3/10/a36bae2a-f089-4f92-9cd1-bc85339b48671678457561676AASKNavyBlueColourblockedCrepeFitFlareMidiDress1.jpg",AASK,Striped Fit and Flare Dresses
